------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     5  0.000000000000E+00  0.000000000000E+00  1.956111262946E+01

------ Current Surface: Coil-Plasma separation =   1.000000000000E+00 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      3   -18  2.249860117003E-08 -2.358155064042E-09  0.000000000000E+00  0.000000000000E+00
      3   -19 -1.280115797340E-08 -2.006358833326E-08  0.000000000000E+00  0.000000000000E+00
      3   -20 -3.948502933583E-08 -5.010060909434E-08  0.000000000000E+00  0.000000000000E+00
      3   -21  9.759339932567E-08  9.809848147882E-08  0.000000000000E+00  0.000000000000E+00
      3   -22 -2.430387428115E-08  2.076596399436E-08  0.000000000000E+00  0.000000000000E+00
      3   -23 -2.147097794356E-07 -2.302914192050E-07  0.000000000000E+00  0.000000000000E+00
      3   -24  2.477391456597E-07  1.886001229224E-07  0.000000000000E+00  0.000000000000E+00
      4    24  1.308302992715E-06 -1.105592053725E-06  0.000000000000E+00  0.000000000000E+00
      4    23 -8.845989983440E-07  1.160324187292E-06  0.000000000000E+00  0.000000000000E+00
      4    22 -4.997609951772E-07  2.802432488813E-07  0.000000000000E+00  0.000000000000E+00
      4    21  7.841477844689E-07 -8.055065714958E-07  0.000000000000E+00  0.000000000000E+00
      4    20 -1.092171879854E-07  2.198989924620E-07  0.000000000000E+00  0.000000000000E+00
      4    19 -3.035740907863E-07  2.600901713569E-07  0.000000000000E+00  0.000000000000E+00
      4    18  1.821570956859E-07 -2.062724552257E-07  0.000000000000E+00  0.000000000000E+00
      4    17  1.626609797811E-08  1.983620184748E-10  0.000000000000E+00  0.000000000000E+00
      4    16 -6.089520669509E-08  6.088210697393E-08  0.000000000000E+00  0.000000000000E+00
      4    15  2.136995106111E-08 -2.999228646325E-08  0.000000000000E+00  0.000000000000E+00
      4    14  9.442550933541E-09  5.110982906334E-09  0.000000000000E+00  0.000000000000E+00
      4    13 -1.661430745428E-08 -5.945985924750E-09  0.000000000000E+00  0.000000000000E+00
      4    12  1.288802495463E-08  7.704387430520E-09  0.000000000000E+00  0.000000000000E+00
      4    11  6.738559450779E-09 -6.336532206236E-09  0.000000000000E+00  0.000000000000E+00
      4    10 -1.197447185195E-07 -1.073050031029E-07  0.000000000000E+00  0.000000000000E+00
      4     9  5.270094834222E-07  4.330633114291E-07  0.000000000000E+00  0.000000000000E+00
      4     8 -1.886480800547E-06 -1.761520366272E-06  0.000000000000E+00  0.000000000000E+00
      4     7  6.255226001318E-06  5.698999185354E-06  0.000000000000E+00  0.000000000000E+00
      4     6 -1.824729777392E-05 -1.739304213296E-05  0.000000000000E+00  0.000000000000E+00
      4     5  5.666305415462E-05  5.354330404832E-05  0.000000000000E+00  0.000000000000E+00
      4     4 -1.484701264386E-04 -1.431991742097E-04  0.000000000000E+00  0.000000000000E+00
      4     3  4.667715985999E-04  4.490357868340E-04  0.000000000000E+00  0.000000000000E+00
      4     2 -1.058593981861E-03 -1.020169002220E-03  0.000000000000E+00  0.000000000000E+00
      4     1  4.833473927352E-03  4.517053646914E-03  0.000000000000E+00  0.000000000000E+00
      4     0 -1.222422670455E-03  3.898027435455E-07  0.000000000000E+00  0.000000000000E+00
      4    -1 -1.151629327333E-01 -1.022689102622E-01  0.000000000000E+00  0.000000000000E+00
      4    -2  2.270129432047E-02  1.017056820010E-02  0.000000000000E+00  0.000000000000E+00
      4    -3  4.389461137304E-03 -1.478483371936E-02  0.000000000000E+00  0.000000000000E+00
      4    -4 -2.681284570243E-02  2.437182907296E-02  0.000000000000E+00  0.000000000000E+00
      4    -5 -1.925809807968E-03  1.763498774840E-03  0.000000000000E+00  0.000000000000E+00
      4    -6 -2.682228586978E-03  3.069448759800E-03  0.000000000000E+00  0.000000000000E+00
      4    -7 -4.841159734322E-04  7.432361521370E-04  0.000000000000E+00  0.000000000000E+00
      4    -8 -3.439548635452E-04  4.830183203067E-04  0.000000000000E+00  0.000000000000E+00
      4    -9 -1.001700660151E-04  1.679621148019E-04  0.000000000000E+00  0.000000000000E+00
      4   -10 -4.841139082453E-05  8.054354565061E-05  0.000000000000E+00  0.000000000000E+00
      4   -11 -1.877583156836E-05  3.315822346767E-05  0.000000000000E+00  0.000000000000E+00
      4   -12 -7.009642500818E-06  1.355723747803E-05  0.000000000000E+00  0.000000000000E+00
      4   -13 -3.292379755208E-06  6.144304931620E-06  0.000000000000E+00  0.000000000000E+00
      4   -14 -1.037514717470E-06  2.320272116124E-06  0.000000000000E+00  0.000000000000E+00
      4   -15 -5.439068901244E-07  1.095385927075E-06  0.000000000000E+00  0.000000000000E+00
      4   -16 -1.624439565850E-07  4.031304690712E-07  0.000000000000E+00  0.000000000000E+00
      4   -17 -8.671422590417E-08  1.946992721509E-07  0.000000000000E+00  0.000000000000E+00
      4   -18 -1.865866087168E-08  8.660462633524E-08  0.000000000000E+00  0.000000000000E+00
      4   -19 -3.943664769193E-08  1.641242227382E-08  0.000000000000E+00  0.000000000000E+00
      4   -20 -1.948632083950E-09  1.776928588152E-08  0.000000000000E+00  0.000000000000E+00
      4   -21  5.955817718590E-08  8.201547382535E-08  0.000000000000E+00  0.000000000000E+00
      4   -22 -9.948339858997E-08 -8.260665784161E-08  0.000000000000E+00  0.000000000000E+00
      4   -23 -3.873516095701E-08 -8.876510510957E-08  0.000000000000E+00  0.000000000000E+00
